,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-03,581.1032641048223,582.7339365510144,577.5475333986773,580.9447021484375,8806492,0.0,0.0
2019-07-04,580.4238372729682,584.7722567749197,579.7896499267528,581.6015014648438,9351405,0.0,0.0
2019-07-05,582.0997499137994,584.5457888229245,570.7304585008465,572.2478637695312,10926753,0.0,0.0
2019-07-08,569.8245242945517,574.39941741555,565.3855154955436,567.12939453125,14009219,0.0,0.0
2019-07-09,565.7252445494213,581.3750438590464,564.1625444757699,579.8349609375,17535754,0.0,0.0
2019-07-10,579.812275063091,584.0248098538616,574.6711671990308,579.2687377929688,12018196,0.0,0.0
2019-07-11,582.9603550419686,584.2286691515262,579.4725365959314,580.49169921875,8608376,0.0,0.0
2019-07-12,581.1485437122124,588.8488974983584,578.9063615980172,580.0161743164062,15692436,0.0,0.0
2019-07-15,582.0544277675741,584.0927531135544,575.4185920546518,578.0231323242188,10659498,0.0,0.0
2019-07-16,579.7669815760975,586.5387617392009,578.4533726967278,585.6781005859375,10070773,0.0,0.0
2019-07-17,586.266975296307,587.4899947194625,579.789640920606,580.6276245117188,9482233,0.0,0.0
2019-07-18,580.6955897747291,582.6886203638062,569.8245413223383,571.5684204101562,11942908,0.0,0.0
2019-07-19,574.4447021190985,576.5962340830577,562.8941721104366,565.7478637695312,16336536,0.0,0.0
2019-07-22,566.6537921302314,581.8279653496961,555.9186278896589,580.0161743164062,29092589,0.0,0.0
2019-07-23,582.0544456276509,586.0858016683715,570.9116282820901,576.8681030273438,20316348,0.0,0.0
2019-07-24,576.8453826352122,579.2460660763933,567.8088032958078,570.32275390625,15189179,0.0,0.0
2019-07-25,572.5423323948562,574.8298094366468,555.782780435681,557.8211059570312,21805071,0.0,0.0
2019-07-26,557.8210670926449,562.8036133649492,548.0823879527783,549.8036499023438,20387504,0.0,0.0
2019-07-29,551.207825061832,553.5179189973555,545.86286033693,548.5126953125,17626045,0.0,0.0
2019-07-30,549.8716220248763,552.6120466627253,532.6591234852498,534.9012451171875,20853117,0.0,0.0
2019-07-31,532.5685052626189,536.7583624959813,526.5214413799035,528.265380859375,21229950,0.0,0.0
2019-08-01,526.9744305394946,538.2078980231832,521.0633109854075,534.6068725585938,22628222,0.0,0.0
2019-08-02,535.7424748099493,546.0180300824694,529.5452267344399,539.68408203125,23766807,3.219483,0.0
2019-08-05,531.7780705945927,531.7780705945927,514.0065864990993,521.0012817382812,30399133,0.0,0.0
2019-08-06,517.0823901257481,523.8492515783581,511.27248930111233,514.1432495117188,29067994,0.0,0.0
2019-08-07,513.3230870385016,518.8140216655366,502.66015398641287,505.53094482421875,25349369,0.0,0.0
2019-08-08,505.0524776816516,527.6769637703608,499.10587629867695,525.1024169921875,31198568,0.0,0.0
2019-08-09,529.4313408226183,535.6513418127981,525.0795728349269,529.5452270507812,21970009,0.0,0.0
2019-08-13,561.921285806401,593.6593459251443,558.6631784335605,580.8775634765625,104827144,0.0,0.0
2019-08-14,594.2061974478396,594.4112169917863,583.4293481621099,587.0292358398438,31688983,0.0,0.0
2019-08-16,588.3735021099018,588.6469020686337,580.0801266817175,582.3585205078125,21977767,0.0,0.0
2019-08-19,583.7483124715231,590.925274051259,583.2698321430983,589.0114135742188,16317602,0.0,0.0
2019-08-20,587.7355727925429,589.0114392751343,579.8978639099746,581.4243774414062,14969299,0.0,0.0
2019-08-21,581.2876900009641,582.6547506698938,577.1182492575567,579.14599609375,10677848,0.0,0.0
